"Index" "pairReturn"
"2017-05-02" -0.00388376273945621
"2017-05-03" 0.00689331961940137
"2017-05-04" 0.00141068569643852
"2017-05-05" -0.00140879778958398
"2017-05-08" 0.000163228126201709
"2017-05-09" -0.00389913672001333
"2017-05-10" 0.00561353576892261
"2017-05-11" -0.0046901134224853
"2017-05-12" -0.00348830003422126
"2017-05-15" 0.00623333058016218
"2017-05-16" 0.00302019127978037
"2017-05-17" -0.0348194971992635
"2017-05-18" 9.18251372576681e-05
"2017-05-19" 0.0092104530445266
"2017-05-22" 0.00078085759421386
"2017-05-23" 0.0101623010473861
"2017-05-24" -0.000505818242873762
"2017-05-25" -0.00134873726792067
"2017-05-26" -0.000142695805984512
"2017-05-30" -0.0121659106961053
"2017-05-31" -0.0150488759707911
"2017-06-01" 0.0117108491440801
